PIM | Brand,UPC Code,English Description,COST
Vaseline,121022279,"<p><strong>Highlights:</strong></p><ul>
<li>Infused with Vaseline Jelly and Hyaluronic acid formula, this body Lotion hydrates and cools down your skin</li><li>Contains vitamin E and vitamin C for nourished, fresh and radiant looking skin</li><li>This body lotion is crafted for hot and humid climates, it soothes the skin from heat and dryness</li><li>Lightweight, non-sticky and fast-absorbing body lotion that is perfect for summer</li></ul>",53.23
Aptamil,131000005,"<p><strong>Highlights:</strong></p><ul>
<li>AptamilAdvance 1 infant formula with Pronutra Advance is specifically tailored to support you baby’s nutritional requirements from 0-6 months.</li><li>It is the only formula with Pronutra® - ADVANCE combining our unique blend of ingredients with our advanced unique process.</li><li>Special features: Regular Formula</li></ul>",53.51
Cerelac,131000049,<p><strong>Highlights:</strong></p><ul><li>Easy Digestibilitycerelac Stage 2 (6 Months +)</li><li>Made With 100% Natural Ingredients</li></ul>,67.0
Progress,131000224,"<p><strong>Highlights:</strong></p><ul>
<li>S-26 Progress GOLD with the Nutrilearn system, contains a nutrition system designed to ensure your growing baby receives essential nutrients in the right amounts to empower him to learn and achieve</li><li>For toddlers from 1-3 years</li></ul>",37.0
Deiters,131000724, ,55.0
Bambi,141000824,"<p><strong>Highlights:</strong></p><ul>  
<li>Baby wet wipes with a special formula that cleans baby\'s skin and help prevent rashes  </li>  
<li> It has great moisturizing properties and is effective in regulating the skin leaving it soft and radiant  </li>  
<li> Alcohol-free and dermatologically tested </li></ul>",35.0
Bambi,141000826,"<p><strong>Highlights:</strong></p><ul>  
<li>Baby wet wipes with a special formula that cleans baby\'s skin and help prevent rashes  </li>  
<li> It has great moisturizing properties and is effective in regulating the skin leaving it soft and radiant  </li>  
<li> Alcohol-free and dermatologically tested </li></ul>",39.0
Durex,142000018,<p><strong>Highlights:</strong></p><ul><li>Overwhelmed with sensation from Warming Lube.</li><li>Silky Lube that creates a tingling sensation .</li><li>Sensi-fit Condoms .</li><li>Smells Better.</li></ul>,88.5
Durex,142000026,<p><strong>Highlights:</strong></p><ul>  <li>ENHANCE THE PLEASURE: Durex Play Tingle is a long lasting silky lube with a cooling sensation  </li>  <li> FLAVOURED INTIMATE LUBE: A completely new zingy sensation to add tingles to your love making  </li>  <li>CONDOM FRIENDLY: Safe to use with all Durex Condoms</li>  <li> DERMATALOGICALLY TESTED: Durex meets worldwide quality standards </li></ul>,57.0
Always,143000020,"<p><strong>Highlights:<br></strong></p><ul>
<li>Comfortable pads that allow airflow and absorb light menstrual flow or vaginal secretions.</li><li>It gives you high protection throughout the day and controls odors.</li><li>Fixed in place and soft on your skin.</li><li>It features a top layer that always leaves you dry to keep your skin soft, healthy and fresh</li><li>An ideal choice to keep you feeling fresh and clean throughout your day.</li></ul>",16.0
Private,143000150,"<p><strong>Highlights:<br></strong></p><ul><li>Sanita Feminine Tri Fold Private Maxi Pocket Normal Napkins 30 Pads 
offers feminine protection with glamour all the way.</li><li>comes with 30 
compressed pads.</li><li>Sanita Feminine are soft pads and cotton pads for women 
pads and wings pads.</li><li>Cotton Soft are sanitary pads designed compressed 
7mm thick to provide maximum discretion and protection with a natural 
cotton-feel cover.</li></ul>",22.9
Fam,143000154,<p><strong>Highlights:<br></strong></p><ul><li>Practical soft Maternity Napkins</li><li>Made of Soft cotton-like material</li><li>Ultra-absorbent for maximum comfort</li><li>Unites per Pack: 20 Pads</li></ul>,19.0
